season,award,player_name,team_position,result,rank,votes,source_url
2022,MVP,Joe Burrow,Bengals QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,MVP,Jalen Hurts,Eagles QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,MVP,Justin Jefferson,Vikings WR,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,MVP,Patrick Mahomes,Chiefs QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,DPOY,Nick Bosa,49ers DE,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,DPOY,Chris Jones,Chiefs DT,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,DPOY,Micah Parsons,Cowboys LB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OPOY,Tyreek Hill,Dolphins WR,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OPOY,Jalen Hurts,Eagles QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OPOY,Justin Jefferson,Vikings WR,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OPOY,Patrick Mahomes,Chiefs QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OROY,Brock Purdy,49ers QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OROY,Kenneth Walker III,Seahawks RB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,OROY,Garrett Wilson,Jets WR,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,DROY,Sauce Gardner,Jets CB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,DROY,Aidan Hutchinson,Lions DE,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,DROY,Tariq Woolen,Seahawks CB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,CPOY,Saquon Barkley,Giants RB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,CPOY,Christian McCaffrey,49ers RB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2022,CPOY,Geno Smith,Seahawks QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
2023,MVP,Josh Allen,Buffalo Bills quarterback,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-mvp-other-awards-from-2023-season
